"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",12.7004102612032,12.7053242967652,12.719520023672,12.7341543128331,12.7415273297908,12.7541033698807,12.7659428617402,12.7761858214291,12.7842788555103,12.7959506367431,12.8054753971422,12.8171431847561,12.8266260779343,12.8382695259733,12.8478467172424,12.8592819118484,12.8712283004618,12.8802404372488,12.89397326531,12.9011563615055
"2",12.6989424610733,12.7068368545866,12.7174879803851,12.7263605604562,12.7368714822153,12.7453915517138,12.7536506066522,12.7639873634974,12.7732149340375,12.7826589645524,12.792254495017,12.8026158666194,12.8120754208201,12.8221521755313,12.8313549605081,12.8409919546657,12.8514359135994,12.861111977184,12.8699200929162,12.8804710314487
"3",12.6936905584549,12.7110211946748,12.715079820069,12.7352292242458,12.7498924759158,12.7719988305541,12.7896348322886,12.80712805469,12.8250258557923,12.8426058888873,12.8576090180309,12.8773926165531,12.8932017760759,12.9140326093795,12.9285606127054,12.9497372360554,12.9638848420896,12.9855571772423,12.9991687080589,13.0216538862305
"4",12.6781120840631,12.6899980251375,12.7021913386127,12.7144227548435,12.726637974901,12.7388524571656,12.7510671928418,12.7632818859279,12.7754812883394,12.787630012837,12.7997787385856,12.811927464048,12.8240761895759,12.8362249150888,12.8483782983003,12.8605601271031,12.8727419559061,12.884923784709,12.8971056135119,12.9092874423148
"5",12.6972114635922,12.7106855615925,12.7195407162923,12.7287194718167,12.7398936872089,12.7443919075714,12.7549830985469,12.7615552753872,12.7724375295673,12.7822652376346,12.7915448136119,12.7978059209718,12.8087253215486,12.8207506827501,12.8258953707993,12.8340991856024,12.8378273355016,12.8503717384594,12.8599797129813,12.8640994307026
"6",12.6828509922451,12.6865112232913,12.6998499870852,12.7083006309155,12.7150547269225,12.7216748213342,12.7286294226967,12.7347676212204,12.7353333619558,12.7421735548202,12.7456791264507,12.7504881842718,12.7555561121274,12.7600563738249,12.7653617187532,12.7706745314185,12.7759877742332,12.781297227594,12.7866103336742,12.7919213002849
"7",12.7105097269253,12.701040327727,12.6975542592007,12.7100750037978,12.7025827918555,12.7146842963607,12.7180728126082,12.7217629104787,12.7147591957748,12.729607967271,12.7262383646577,12.7258351152319,12.736579440119,12.7336033595502,12.7341136398715,12.7538196608514,12.757252109535,12.7485985992715,12.7659520085118,12.7684051977712
"8",12.7052227840374,12.7049220448275,12.7153799560302,12.7309599172934,12.7336181399111,12.7428587166091,12.7522266032991,12.7576873113044,12.7620720957713,12.7704084989768,12.7794883525317,12.776409534786,12.7935346205936,12.7933912265888,12.8050615936307,12.8113393407983,12.8130403205343,12.8217465503284,12.8262471429122,12.8285407695012
"9",12.6981762228132,12.7006960687879,12.7120010827257,12.7187983345906,12.7274583822904,12.7351773818868,12.7434178364157,12.7514981994406,12.7596082649328,12.7676643120774,12.7757480463693,12.7838976223229,12.7920554375989,12.8002091719709,12.8083649275596,12.8165196819871,12.824674932331,12.8328299370135,12.8409850633941,12.8491401294839
"10",12.6808671988556,12.6823136059237,12.7129870336198,12.7143375197128,12.7305740543091,12.7513090867873,12.7579525100497,12.7788297034575,12.7900898510065,12.8131933933575,12.8216596918262,12.8387549188553,12.8597044114107,12.8757829865734,12.897056699715,12.9225609578457,12.9336890775409,12.9443667566181,12.9557880486039,12.9714277665585
"11",12.7335198014918,12.7396223989313,12.7545162979449,12.7556574589543,12.7669881459326,12.770955955174,12.7841342400044,12.78734276986,12.8002961487682,12.8036302861425,12.8168327261617,12.8199067361157,12.8315887258053,12.8357771151985,12.8477834779856,12.851557818893,12.8629798496794,12.8673896844145,12.8786121396797,12.8832061303925
"12",12.6965966586171,12.7096931896714,12.7129579519315,12.6831387095656,12.7063922765734,12.7191250370415,12.7236223740582,12.7110293370578,12.7491077005918,12.747490596738,12.751448500423,12.7594255325892,12.784341807467,12.7849565270139,12.8029229435331,12.8186019906418,12.8285268619452,12.8203940657538,12.8423352973698,12.8600441458612
"13",12.7279301575198,12.7364994628899,12.7498297837144,12.7615117900489,12.7737721805297,12.7858296726551,12.7979418755058,12.8100148277568,12.8220997323507,12.8341802658778,12.8462623990764,12.8583439464357,12.870425708492,12.8825073918132,12.8945891040279,12.9066708056326,12.9187525111359,12.9308342152057,12.942915919803,12.9549976242061
"14",12.6920514789789,12.7088758141089,12.7198431296092,12.7329261645587,12.7452707162488,12.7578648818622,12.7703725089718,12.7829101442707,12.7954373746385,12.807968212865,12.8204978000948,12.8330278210992,12.8455576916953,12.8580876144445,12.8706175191099,12.8831474300458,12.8956773388074,12.908207248323,12.9207371575771,12.9332670669219
"15",12.7093381289053,12.7237004889564,12.7375267390531,12.7515218149915,12.7654703021034,12.7794318695362,12.793389765551,12.8073486921552,12.8213093004692,12.8352711805872,12.8492330286569,12.8631948860687,12.8771567407554,12.8911185962375,12.9050804514873,12.919042306805,12.9330041621029,12.9469660174065,12.9609278727085,12.974889728011
"16",12.7027418381347,12.6991255413316,12.707048485614,12.7266868411244,12.73331934645,12.7528328187281,12.7644313391244,12.7862542409452,12.8059050775968,12.8312126203113,12.8546012504907,12.8732582913612,12.8922008464753,12.9109265430693,12.9360532500706,12.9574641699235,12.9786141347156,12.9998740431192,13.0210738607895,13.032146255523
"17",12.7037388156314,12.7113513130252,12.7246827318839,12.7360903647659,12.7481543989651,12.759979715237,12.7718804847734,12.7837528743038,12.7956350308718,12.8075138254118,12.8193937774458,12.8312733308976,12.8431530216262,12.8550326650662,12.866912324799,12.8787919789172,12.8906716349706,12.9025512903569,12.9144309459732,12.9263106015102
"18",12.6407092407882,12.6537655628995,12.6681878473526,12.6822610551976,12.6964347326075,12.7105570284597,12.7246968016297,12.7388374058506,12.7530040252067,12.7673282881744,12.7812599426442,12.7954130871145,12.8095728941894,12.8237327010842,12.8378226089552,12.8518523963181,12.8658821836829,12.87993357344,12.8940770944287,12.908225419518
"19",12.6953790437099,12.7016787908879,12.7159073377245,12.7270560531071,12.7396795583711,12.7520594982698,12.7643350813656,12.7764816743714,12.7886555524398,12.8008188320363,12.8129862284844,12.8251520257898,12.8373184442655,12.8494846214535,12.8616508923677,12.8738171268747,12.8859833755238,12.8981496186794,12.910315863969,12.9224821084297
"20",12.6844099635456,12.6883104198755,12.6907280375822,12.7026128177774,12.7138983998406,12.7239001300118,12.7312096510754,12.7391898847921,12.7425760221457,12.7454375241498,12.7539684156428,12.7654313033572,12.7721887239674,12.7804622620784,12.7872536660344,12.7935100973431,12.7984418660514,12.8009131076439,12.8013524787596,12.8076430363758
"21",12.6966180673548,12.7077461717502,12.7231434283203,12.7374005749646,12.7520573878249,12.7666783902292,12.7813056437906,12.7959146285975,12.8105268537452,12.825138033781,12.8397495530298,12.8543609616362,12.8689724064705,12.8835838394073,12.8981952762603,12.912806711822,12.92741814781,12.9420295836571,12.9566410195508,12.9712524554291
"22",12.679631164364,12.690740999311,12.7027527371644,12.7144385163966,12.7263345133652,12.7381776626232,12.7499192964075,12.7616475896805,12.773376300948,12.7851450652902,12.7969379182795,12.8087307692751,12.8205236207449,12.8323164721016,12.8441093234854,12.8559021748627,12.8677147967831,12.8795324606701,12.891350124557,12.9031677884439
"23",12.703928319004,12.7027002228408,12.7183849504043,12.7310981235765,12.7387846453415,12.7491702624339,12.7617960079358,12.7666639044865,12.7842597701778,12.7889240226377,12.8003890506563,12.8054188890888,12.8159691221225,12.8251624694101,12.8353868599833,12.84247741072,12.8506193249822,12.8587745099989,12.866498433823,12.8728855773842
